PC1,PC2,PC3,PC4,PC5,kabpaten,idkab
0.09,0.46,0.91,-0.96,-0.07,Simeulue,1101
1.29,0.84,2.35,-0.31,0.48,Aceh Singkil,1102
1.64,-1.08,-0.02,-0.86,-0.1,Aceh Selatan,1103
0.07,-0.91,0.64,0.01,-0.22,Aceh Tenggara,1104
1.67,-0.47,0.78,0.95,0,Aceh Timur,1105
-0.83,-0.49,0.79,0.2,-0.2,Aceh Tengah,1106
1.08,0.15,0.6,1.14,-0.44,Aceh Barat,1107
1.95,-0.75,0.81,0.59,-0.29,Aceh Besar,1108
1.8,-1.75,0.18,1.41,-0.66,Pidie,1109
1.06,-2.47,0.71,0.22,-0.59,Bireuen,1110
2.58,-1.33,0.85,1.21,-0.37,Aceh Utara,1111
0.15,-0.7,0.76,0.66,0.32,Aceh Barat Daya,1112
-1.59,-0.47,1.9,0.27,-0.58,Gayo Lues,1113
0.57,0.19,0.6,0.35,0.05,Aceh Tamiang,1114
0.08,0.12,-0.23,1.21,0.07,Nagan raya,1115
-0.25,-0.32,-0.06,0.47,-1.07,Aceh Jaya,1116
-1.66,-0.7,0.47,0.42,-0.34,Bener Meriah,1117
1.07,-2.62,0.49,0.98,-1.07,Pidie Jaya,1118
2.61,0.11,1.74,-2.87,-0.97,Banda Aceh,1171
-0.18,-0.06,1.05,0.28,-1.28,Sabang,1172
1.5,0.49,1.14,-0.2,0.08,Langsa,1173
3.62,-0.24,0.88,0.6,0.08,Lhokseumawe,1174
0.46,0.71,3.17,-0.25,-0.25,Subulussalam,1175
-0.3,-2.64,1.87,0.46,0.5,N i a s,1201
1.32,0.04,-0.95,-0.5,1.24,Mandailing Natal,1202
0.83,-0.88,0.19,-0.18,0.8,Tapanuli Selatan,1203
1.81,-0.6,1.48,-0.34,0.64,Tapanuli Tengah,1204
0.2,-2.22,-0.1,0.24,0.8,Tapanuli Utara,1205
0.1,-2.27,-0.42,-0.14,-0.81,Toba,1206
0.29,-0.57,0.24,-0.27,0.45,Labuhanbatu,1207
0.51,0.78,0.76,0.28,0.57,A s a h a n,1208
0.42,-0.81,-0.65,-0.31,-0.28,Simalungun,1209
0.26,-2.47,-0.42,0.31,-0.54,D a i r i,1210
-0.48,-1.52,-1.17,0.5,0.2,K a r o,1211
0.72,0.43,-0.12,0.44,-0.85,Deli Serdang,1212
0.42,0.03,-0.45,-0.39,-0.25,L a n g k a t,1213
0.19,-2.13,1.36,-0.02,0.4,Nias Selatan,1214
-0.21,-2.4,-0.3,0.52,-0.71,Humbang Hasundutan,1215
-1.71,-0.92,1.37,0.91,-1.02,Pakpak Bharat,1216
0.18,-2.74,-0.44,-0.21,-0.28,Samosir,1217
-0.58,0.69,-0.07,-0.15,-0.66,Serdang Bedagai,1218
0.74,0.27,0.76,0.5,0.27,Batu Bara,1219
-0.34,-0.66,-1.37,0,1.49,Padang Lawas Utara,1220
0.17,-0.14,-1.45,-0.13,1.54,Padang Lawas,1221
-0.75,0.65,-0.85,0.12,0.79,Labuhanbatu Selatan,1222
0.23,-0.69,0.71,0.05,0.51,Labuhanbatu Utara,1223
-0.14,-1.63,2.4,-0.23,-0.43,Nias Utara,1224
-0.52,-2.4,2.63,-0.08,-0.25,Nias Barat,1225
2.22,0.28,0.77,1.95,-1.16,S i b o l g a,1271
1.82,-0.26,1.06,-0.26,-0.31,Tanjungbalai,1272
3.82,0.16,-0.31,-0.7,-0.7,Pematangsiantar,1273
2.24,0.77,-0.13,-0.2,-0.96,Tebing Tinggi,1274
3.4,-0.11,-0.23,0.54,-1.66,M e d a n,1275
1.35,0.27,-0.24,0.43,-1.35,B i n j a i,1276
1.73,1.09,0.54,0.18,1.26,Padangsidimpuan,1277
1.41,-1.35,1.99,0.04,0.49,Gunungsitoli,1278
-0.76,-0.54,-0.04,1.97,-0.39,1. Kep. Mentawai,1301
-0.41,0.13,0.51,-0.16,0,2. Pesisir Selatan,1302
-0.4,0.12,0.19,-0.07,0.38,3. Solok,1303
0.47,-0.1,-0.01,-0.02,0.73,4. Sijunjung,1304
-0.43,-1.55,-1.46,0.32,0.55,5. Tanah Datar,1305
-1.76,0.38,-0.54,-0.6,0.11,6. Padang Pariaman,1306
-0.81,0.71,-1.44,-0.24,0.05,7. Agam,1307
0.01,1.62,-1.14,-0.19,0.41,8. Lima Puluh Kota,1308
1.04,-0.16,0.02,-0.75,0.77,9. Pasaman,1309
0.08,-1.25,-0.21,0.06,-0.63,10. Solok Selatan,1310
0.28,0.64,0.68,0.51,0.44,11. Dharmasraya,1311
0.03,0.2,-0.57,-0.22,0.92,12. Pasaman Barat,1312
-2.96,1.06,-1.14,0.28,0,1. Padang,1371
-1.77,1.17,-0.13,-1.01,-0.78,2. Solok,1372
-0.86,0.22,-1.34,-0.72,-0.32,3. Sawahlunto,1373
-2.2,-0.17,-0.87,3.26,1.39,4. Padang Panjang,1374
-2.55,-0.58,-0.45,-0.32,0.99,5. Bukittinggi,1375
-1.07,-0.09,0.39,-0.7,1.22,6. Payakumbuh,1376
-2.29,-0.14,0.1,-0.23,0.5,7. Pariaman,1377
0.64,-0.44,0.15,-0.55,0.26,01. Kuantan Singingi,1401
0.58,1.08,0.45,-0.32,0.6,02. Indragiri Hulu,1402
0.59,-0.47,-0.78,-0.41,-0.33,03. Indragiri Hilir,1403
0.92,-1.99,-0.8,0.57,-0.72,04. Pelalawan,1404
1.35,1.05,0.31,-0.28,1.07,05. Siak,1405
0.46,1.31,0.02,-0.2,0.57,06. Kampar,1406
-0.86,0.49,-0.75,-0.21,0.74,07. Rokan Hulu,1407
0.33,2.4,-0.75,0.16,-0.19,08. Bengkalis,1408
-0.88,0.65,-0.24,-0.22,0.83,09. Rokan Hilir,1409
0.14,0.17,-0.02,0.4,-2.01,10. Kepulauan Meranti,1410
-1.29,1.71,-0.21,-0.9,1.11,1. Pekanbaru,1471
-0.17,-1.24,0.18,1.05,1.18,73. Dumai,1473
0.65,-1.59,0.79,-0.42,0.42,Kerinci,1501
1.36,0.87,0.64,0.03,-0.38,Merangin,1502
0.64,0.52,-0.62,-0.12,0.13,Sarolangun,1503
1.14,0.55,-0.97,-0.22,-0.12,Batang Hari,1504
0.65,0.61,1.51,-1.16,-0.11,Muaro Jambi,1505
1.72,-0.03,0,0.08,1.26,Tanjung Jabung Timur,1506
1.42,0.02,0.53,0.07,0.29,Tanjung Jabung Barat,1507
0.9,0.1,-0.32,0.03,0.76,Tebo,1508
0.81,1.05,0.48,0.14,0.38,Bungo,1509
-0.83,0.57,1.07,0.03,-0.57,Kota Jambi,1571
-0.27,-0.16,0.99,-0.08,0.26,Kota Sungai Penuh,1572
0.83,-0.06,0.04,0.06,-0.84,Ogan Komering Ulu,1601
1.28,-0.52,0.83,0.26,-0.66,Ogan Komering Ilir,1602
0.44,0.11,-0.06,-0.14,-0.21,Muara Enim,1603
0.91,-0.56,0.09,-0.14,0.47,Lahat,1604
1.18,0.87,0.41,0.55,-0.8,Musi Rawas,1605
1.23,-0.02,-0.25,-0.21,-0.16,Musi Banyuasin,1606
0.95,-0.26,0.54,0.39,0.4,Banyuasin,1607
1.18,-0.23,1.22,-1.28,-0.57,OKU Selatan,1608
0.86,-0.09,1.04,1.35,-0.16,OKU Timur,1609
0.65,0.12,0.44,0.1,0.55,Ogan Ilir,1610
0.86,0.12,-0.26,-0.47,-0.11,Empat Lawang,1611
0.87,0.2,0.09,-0.01,-0.67,Penukal Abab Lematang Ilir,1612
1.19,0.45,-0.15,0.39,0,Musi Rawas Utara,1613
-1.59,1.53,0.15,0.15,0.25,Palembang,1671
-0.51,0.64,-0.84,-0.09,-0.06,Prabumulih,1672
0.49,-1.03,-1.72,-0.74,-0.06,Pagar Alam,1673
-0.06,-0.81,-0.29,0.04,-0.06,Lubuk Linggau,1674
1.19,-0.62,-0.04,0.61,0.42,Bengkulu Selatan,1701
1.35,0.19,0.37,-0.23,0.03,Rejang Lebong,1702
1.11,-0.08,-0.22,-0.58,0.23,Bengkulu Utara,1703
1.45,0.52,1.1,0.16,-1.07,Kaur,1704
1.46,-0.56,0.25,-0.43,0.75,Seluma,1705
0.62,1.32,0.31,0.33,-0.06,Mukomuko,1706
1.3,-0.08,-0.18,-0.75,-0.16,Lebong,1707
1.55,0.75,0.23,0.26,-0.22,Kepahiang,1708
0.61,0.08,0.2,0.26,-0.84,Bengkulu Tengah,1709
-1.38,-0.47,-0.92,-0.66,-1.2,Kota Bengkulu,1771
-0.97,-1.74,0.46,0.18,0.2,Lampung Barat,1801
1.17,0.8,0.42,-0.04,0.21,Tanggamus,1802
-0.44,-0.09,-0.39,0.09,-0.26,Lampung Selatan,1803
-0.91,0.84,-0.79,-0.45,1.08,Lampung Timur,1804
-1.02,0.57,0.85,-0.28,-0.95,Lampung Tengah,1805
-0.98,0.11,0.2,0.3,-0.16,Lampung Utara,1806
0.84,-1.05,0.08,-0.56,-1,Way Kanan,1807
1.01,-0.19,0.61,0.16,-0.42,Tulangbawang,1808
0.82,-0.45,0.02,-0.48,0.15,Pesawaran,1809
-0.64,0.23,0.43,0.09,-0.56,Pringsewu,1810
0.86,-0.44,0.72,-0.56,-1.25,Mesuji,1811
1.05,-0.38,0.73,-0.41,-0.71,Tulang Bawang Barat,1812
-1.26,-0.73,0.87,-0.37,0.14,Pesisir Barat,1813
1.8,0.73,2.95,0.81,0.29,Kota Bandar Lampung,1871
-1.69,-2.32,-4.36,0.64,0.76,Kota Metro,1872
-0.75,0.01,-0.52,0.64,-0.66,Bangka,1901
-0.79,-0.89,0.56,-0.7,0.07,Belitung,1902
-1.09,-0.23,0.62,1.06,-0.66,Bangka Barat,1903
0.45,-0.13,0.42,0.07,1.36,Bangka Tengah,1904
0.87,-0.43,0.52,0.31,-1.59,Bangka Selatan,1905
-0.78,-1.95,0.89,-0.85,0.04,Belitung Timur,1906
-0.71,0.41,0.84,-0.86,1.12,Kota Pangkal Pinang,1971
0.32,-0.67,0.39,0.44,-0.3,Karimun,2101
-0.47,1.57,-0.52,-0.85,-1.05,Bintan,2102
0.62,0.99,0.67,-0.93,0.72,Natuna,2103
-0.73,-0.56,0.23,-0.34,0.15,Lingga,2104
0.57,0.17,0.09,-0.7,0.21,Kepulauan Anambas,2105
0.43,-2.45,0.47,0.71,0.09,Kota Batam,2171
-0.78,-0.24,-0.96,-0.02,0.36,Kota Tanjung Pinang,2172
-0.8,0.37,-0.43,-0.36,1.05,Kepulauan Seribu,3101
-5.96,0.79,-0.42,0.62,-0.35,Kota Jakarta Selatan,3171
-6.54,0.16,-0.5,0.33,-0.22,Kota Jakarta Timur,3172
-7.47,0.58,-1.34,1.99,-0.07,Kota Jakarta Pusat,3173
-9.26,-3.06,1.95,-0.88,-0.94,Kota Jakarta Barat,3174
-7.26,-1.33,-0.53,2.67,2.97,Kota Jakarta Utara,3175
-0.33,1.71,-0.98,-0.45,-0.01,Bogor,3201
0.28,0.59,-0.46,-1.1,-0.66,Sukabumi,3202
0.39,0.68,-1.18,-1.1,-1.36,Cianjur,3203
-0.42,0.39,-0.01,-0.2,0.17,Bandung,3204
0.13,0.53,-0.52,0.28,1.05,Garut,3205
0.55,-0.4,-0.25,0.69,0.99,Tasikmalaya,3206
0.54,1.29,0.75,1.05,1.54,Ciamis,3207
-0.23,-0.3,0.94,0.76,2.01,Kuningan,3208
0.02,1.28,0.72,0.56,1.62,Cirebon,3209
0.64,-0.96,-1.03,0.97,1.15,Majalengka,3210
0.48,-0.45,0.55,1.29,2.14,Sumedang,3211
0.69,0.67,-0.6,0.91,1.18,Indramayu,3212
0.27,0.1,-0.15,1.35,-1.72,Subang,3213
0.23,1.4,-0.66,1.17,-1.27,Purwakarta,3214
-0.37,0.82,-0.94,-1.53,-1.45,Karawang,3215
-1.06,1.25,-0.92,-0.45,0.17,Bekasi,3216
0.08,0.87,-0.65,0.4,-0.84,Bandung Barat,3217
-0.01,1.81,0.29,0.87,0.66,Pangandaran,3218
-3.32,1.59,-0.47,-0.7,-1.62,Kota Bogor,3271
-2.02,1.26,0.31,-1.33,-1.52,Kota Sukabumi,3272
-4.76,1.85,1.82,-0.66,-1.76,Kota Bandung,3273
-2.97,0.78,-0.13,0.01,2.28,Kota Cirebon,3274
-5.11,2.13,-0.47,0.05,-0.37,Kota Bekasi,3275
-3.5,2,-0.84,-0.8,-1.06,Kota Depok,3276
-6.41,0.2,-0.02,-0.22,-1.25,Kota Cimahi,3277
-0.59,0.71,-0.48,0.5,0.63,Kota Tasikmalaya,3278
0.17,0.36,0.45,0.5,1.45,Kota Banjar,3279
0.11,-0.98,-0.59,0.14,-1.74,Cilacap,3301
-0.31,-1.43,0.48,0.38,-1.09,Banyumas,3302
-0.47,0.83,0.43,-0.35,1.02,Purbalingga,3303
-0.6,1.29,-0.32,-0.67,-0.94,Banjarnegara,3304
-0.51,1.49,-0.61,-0.2,-1.35,Kebumen,3305
-0.26,2.64,-0.49,0.45,1.73,Purworejo,3306
-0.32,1.72,0.18,-0.69,0.9,Wonosobo,3307
0.46,-2.04,-0.51,0.6,0.69,Magelang,3308
-0.28,-2.23,1.24,0.34,1.22,Boyolali,3309
1.65,-2.84,0.95,-0.2,1.62,Klaten,3310
0.53,-1.1,1.79,0.39,0.75,Sukoharjo,3311
-1.01,4.17,-0.99,0.65,2.23,Wonogiri,3312
-0.19,-1.3,0.96,-0.64,0.33,Karanganyar,3313
-0.28,-2.51,1.28,0.37,0.81,Sragen,3314
-0.39,-1.84,0.85,-0.4,1.07,Grobogan,3315
-1.01,-2.33,1.58,-0.14,0.38,Blora,3316
-0.38,-1.82,1.14,-0.09,-0.35,Rembang,3317
-0.51,-1.87,1.61,-0.34,1.06,Pati,3318
-0.42,-0.21,0.93,0.17,0.32,Kudus,3319
-0.01,-0.94,0.61,-0.04,0.2,Jepara,3320
-0.39,-0.39,0.39,-0.4,0.92,Demak,3321
-0.01,-1.49,1.06,0.31,0.38,Semarang,3322
-0.78,1.22,-0.72,0.73,0.62,Temanggung,3323
-0.37,0.53,-0.15,0.65,-1.35,Kendal,3324
-0.73,0.43,0.46,0.03,0.5,Batang,3325
-0.4,-0.14,-0.2,-0.03,-0.03,Pekalongan,3326
-0.47,-0.41,-0.27,0.31,-1.52,Pemalang,3327
0.14,0.4,0.13,1.26,-1.39,Tegal,3328
0.69,0.17,0.28,0.08,-1.25,Brebes,3329
1.01,0.19,2.93,-0.22,1.73,Kota Magelang,3371
3.44,0.58,2.98,-0.26,0.99,Kota Surakarta,3372
0.66,-0.1,2.69,-1.31,0.71,Kota Salatiga,3373
1.75,-0.21,1.76,-0.36,0.57,Kota Semarang,3374
1.96,-0.54,-1.07,-0.48,-0.65,Kota Pekalongan,3375
-2.06,0.54,-0.01,0.95,-0.52,Kota Tegal,3376
1.49,-4.12,-0.25,0.7,1.18,Kulon Progo,3401
3.8,-3.39,0.01,0.12,0.31,Bantul,3402
-0.01,-4.25,1.61,-0.01,1.85,Gunung Kidul,3403
6.53,-4.06,-0.61,-1.02,-0.05,Sleman,3404
11.42,-3.16,0.7,-1.12,1.1,Kota Yogyakarta,3471
0.25,3.78,-2.74,1.1,-0.28,Pacitan,3501
0.37,2.7,-2.65,0.57,-0.61,Ponorogo,3502
0.76,2.31,2.28,0.82,0.17,Trenggalek,3503
-0.13,-0.89,-2.57,0.87,-0.36,Tulungagung,3504
-0.01,-1.95,1.77,-1.48,-0.21,Blitar,3505
0.23,-0.76,-1.82,0.89,-0.03,Kediri,3506
-0.04,1.28,0.75,0.66,-0.35,Malang,3507
-0.3,1.82,1.58,1.18,-0.56,Lumajang,3508
-0.3,-1.6,-1.61,0.86,1.07,Jember,3509
0.25,1.51,-1.7,-1.54,-1.24,Banyuwangi,3510
-0.69,-2.39,-2.74,1.12,1.65,Bondowoso,3511
-0.64,2.01,-2.2,-1.06,-1.64,Situbondo,3512
-0.43,-1.76,1.51,0.31,-0.76,Probolinggo,3513
0.39,-0.83,-0.66,0.47,0.18,Pasuruan,3514
-0.09,-0.54,0.07,1.59,-0.85,Sidoarjo,3515
-0.22,0.85,-0.5,0.78,0.39,Mojokerto,3516
0.49,-0.46,0.65,0.49,-0.44,Jombang,3517
0.55,1.64,2.03,1.05,0.33,Nganjuk,3518
0.32,2.48,-2.62,0.56,-0.37,Madiun,3519
0.44,2,-2.63,0.49,-0.57,Magetan,3520
0.05,2.8,-2.21,0.64,0.23,Ngawi,3521
0.46,1.85,-1.21,0.11,0.45,Bojonegoro,3522
0.68,2.11,-1.7,-0.31,-0.42,Tuban,3523
-0.33,2.04,-1.24,1.05,0.5,Lamongan,3524
0.23,0.38,-0.37,0.42,-0.35,Gresik,3525
0.86,-0.08,3.15,0.64,1.57,Bangkalan,3526
-0.96,1,2.27,-1.21,-1.6,Sampang,3527
-0.78,-1.1,1.96,0.68,-0.6,Pamekasan,3528
-0.98,-2.55,-2.91,-1.7,-1.06,Sumenep,3529
